"eeg_file","label","subject","experiment_group","audio_file","source_csv"
"sub01_sess1_epoch002.npy","target","sub01","1","no1080-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch003.npy","background","sub01","1","shipsear-bg-2000ms-682.wav","sub01_trials.csv"
"sub01_sess1_epoch004.npy","target","sub01","1","no1077-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch006.npy","background","sub01","1","shipsear-bg-2000ms-682.wav","sub01_trials.csv"
"sub01_sess1_epoch008.npy","background","sub01","1","shipsear-bg-2000ms-682.wav","sub01_trials.csv"
"sub01_sess1_epoch010.npy","target","sub01","1","no1075-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch012.npy","target","sub01","1","no1549-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch014.npy","background","sub01","1","shipsear-bg-2000ms-386.wav","sub01_trials.csv"
"sub01_sess1_epoch015.npy","target","sub01","1","no1550-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch018.npy","background","sub01","1","shipsear-bg-2000ms-386.wav","sub01_trials.csv"
"sub01_sess1_epoch020.npy","background","sub01","1","shipsear-bg-2000ms-386.wav","sub01_trials.csv"
"sub01_sess1_epoch023.npy","background","sub01","1","shipsear-bg-2000ms-840.wav","sub01_trials.csv"
"sub01_sess1_epoch024.npy","target","sub01","1","no3158-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch027.npy","background","sub01","1","shipsear-bg-2000ms-840.wav","sub01_trials.csv"
"sub01_sess1_epoch028.npy","target","sub01","1","no3159-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch030.npy","background","sub01","1","shipsear-bg-2000ms-840.wav","sub01_trials.csv"
"sub01_sess1_epoch032.npy","target","sub01","1","no3168-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch033.npy","background","sub01","1","shipsear-bg-2000ms-314.wav","sub01_trials.csv"
"sub01_sess1_epoch034.npy","target","sub01","1","no3167-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch037.npy","background","sub01","1","shipsear-bg-2000ms-314.wav","sub01_trials.csv"
"sub01_sess1_epoch039.npy","background","sub01","1","shipsear-bg-2000ms-314.wav","sub01_trials.csv"
"sub01_sess1_epoch042.npy","target","sub01","1","no1884-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch043.npy","background","sub01","1","shipsear-bg-2000ms-533.wav","sub01_trials.csv"
"sub01_sess1_epoch044.npy","target","sub01","1","no1880-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch046.npy","background","sub01","1","shipsear-bg-2000ms-533.wav","sub01_trials.csv"
"sub01_sess1_epoch048.npy","background","sub01","1","shipsear-bg-2000ms-533.wav","sub01_trials.csv"
"sub01_sess1_epoch049.npy","target","sub01","1","no1883-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch052.npy","target","sub01","1","no3088-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch053.npy","background","sub01","1","shipsear-bg-2000ms-647.wav","sub01_trials.csv"
"sub01_sess1_epoch055.npy","background","sub01","1","shipsear-bg-2000ms-647.wav","sub01_trials.csv"
"sub01_sess1_epoch057.npy","target","sub01","1","no3090-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch058.npy","background","sub01","1","shipsear-bg-2000ms-647.wav","sub01_trials.csv"
"sub01_sess1_epoch060.npy","target","sub01","1","no3089-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch062.npy","target","sub01","1","no530-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch063.npy","background","sub01","1","shipsear-bg-2000ms-855.wav","sub01_trials.csv"
"sub01_sess1_epoch066.npy","background","sub01","1","shipsear-bg-2000ms-855.wav","sub01_trials.csv"
"sub01_sess1_epoch068.npy","background","sub01","1","shipsear-bg-2000ms-855.wav","sub01_trials.csv"
"sub01_sess1_epoch069.npy","target","sub01","1","no532-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch072.npy","target","sub01","1","no1123-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
"sub01_sess1_epoch073.npy","background","sub01","1","shipsear-bg-2000ms-753.wav","sub01_trials.csv"
"sub01_sess1_epoch075.npy","background","sub01","1","shipsear-bg-2000ms-753.wav","sub01_trials.csv"
"sub01_sess1_epoch077.npy","target","sub01","1","no1128-短--5db-shipsear-300ms-1.6s.wav","sub01_trials.csv"
